dataset,base_dataset,subdataset,fraction,model1,model2,model1_value,model2_value,delta,comparison,task_type,seq_len
cifar10,cifar10,,0.1,lmu,s4,0.5069000124931335,0.5519000291824341,-0.04500001668930054,lmu_vs_s4,multiclass,1024
cifar10,cifar10,,0.1,lmu,mamba,0.5069000124931335,0.4846000075340271,0.022300004959106445,lmu_vs_mamba,multiclass,1024
cifar10,cifar10,,0.1,mamba,s4,0.4846000075340271,0.5519000291824341,-0.06730002164840698,mamba_vs_s4,multiclass,1024
cifar10,cifar10,,0.1,s4,best,0.5519000291824341,0.5519000291824341,0.0,best_model,multiclass,1024
cifar10,cifar10,,0.25,lmu,s4,0.5544999837875366,0.6126000285148621,-0.05810004472732544,lmu_vs_s4,multiclass,1024
cifar10,cifar10,,0.25,lmu,mamba,0.5544999837875366,0.5821999907493591,-0.02770000696182251,lmu_vs_mamba,multiclass,1024
cifar10,cifar10,,0.25,mamba,s4,0.5821999907493591,0.6126000285148621,-0.03040003776550293,mamba_vs_s4,multiclass,1024
cifar10,cifar10,,0.25,s4,best,0.6126000285148621,0.6126000285148621,0.0,best_model,multiclass,1024
cifar10,cifar10,,0.5,lmu,s4,0.59579998254776,0.6406000256538391,-0.0448000431060791,lmu_vs_s4,multiclass,1024
cifar10,cifar10,,0.5,lmu,mamba,0.59579998254776,0.6394000053405762,-0.04360002279281616,lmu_vs_mamba,multiclass,1024
cifar10,cifar10,,0.5,mamba,s4,0.6394000053405762,0.6406000256538391,-0.0012000203132629395,mamba_vs_s4,multiclass,1024
cifar10,cifar10,,0.5,s4,best,0.6406000256538391,0.6406000256538391,0.0,best_model,multiclass,1024
cifar10,cifar10,,1.0,lmu,s4,0.6492999792098999,0.7421000003814697,-0.09280002117156982,lmu_vs_s4,multiclass,1024
cifar10,cifar10,,1.0,lmu,mamba,0.6492999792098999,0.6829000115394592,-0.033600032329559326,lmu_vs_mamba,multiclass,1024
cifar10,cifar10,,1.0,mamba,s4,0.6829000115394592,0.7421000003814697,-0.0591999888420105,mamba_vs_s4,multiclass,1024
cifar10,cifar10,,1.0,s4,best,0.7421000003814697,0.7421000003814697,0.0,best_model,multiclass,1024
listops,listops,,0.1,lmu,s4,0.3700000047683716,0.3684999942779541,0.0015000104904174805,lmu_vs_s4,multiclass,2000
listops,listops,,0.1,lmu,mamba,0.3700000047683716,0.17800000309944153,0.19200000166893005,lmu_vs_mamba,multiclass,2000
listops,listops,,0.1,mamba,s4,0.17800000309944153,0.3684999942779541,-0.19049999117851257,mamba_vs_s4,multiclass,2000
listops,listops,,0.1,lmu,best,0.3700000047683716,0.3700000047683716,0.0,best_model,multiclass,2000
listops,listops,,0.25,lmu,s4,0.375,0.37549999356269836,-0.0004999935626983643,lmu_vs_s4,multiclass,2000
