dataset,subdataset,model,fraction,primary_metric_value,primary_metric_name,seq_len
psmnist,,lmu,0.1,0.9154000282287598,accuracy,784
psmnist,,lmu,0.25,0.9413999915122986,accuracy,784
psmnist,,lmu,0.5,0.9474999904632568,accuracy,784
psmnist,,lmu,1.0,0.9624000191688538,accuracy,784
psmnist,,s4,0.1,0.741100013256073,accuracy,784
psmnist,,s4,0.25,0.8758000135421753,accuracy,784
psmnist,,s4,0.5,0.9200000166893005,accuracy,784
psmnist,,s4,1.0,0.9704999923706055,accuracy,784
psmnist,,mamba,0.1,0.2775000035762787,accuracy,784
psmnist,,mamba,0.25,0.46299999952316284,accuracy,784
psmnist,,mamba,0.5,0.6349999904632568,accuracy,784
psmnist,,mamba,1.0,0.8938000202178955,accuracy,784
listops,,lmu,0.1,0.3700000047683716,accuracy,2000
listops,,lmu,0.25,0.375,accuracy,2000
listops,,lmu,0.5,0.38199999928474426,accuracy,2000
listops,,lmu,1.0,0.3880000114440918,accuracy,2000
listops,,s4,0.1,0.3684999942779541,accuracy,2000
listops,,s4,0.25,0.37549999356269836,accuracy,2000
listops,,s4,0.5,0.3799999952316284,accuracy,2000
listops,,s4,1.0,0.4235000014305115,accuracy,2000
listops,,mamba,0.1,0.17800000309944153,accuracy,2000
listops,,mamba,0.25,0.23250000178813934,accuracy,2000
listops,,mamba,0.5,0.3720000088214874,accuracy,2000
listops,,mamba,1.0,0.4284999966621399,accuracy,2000
cifar10,,lmu,0.1,0.5069000124931335,accuracy,1024
cifar10,,lmu,0.25,0.5544999837875366,accuracy,1024
cifar10,,lmu,0.5,0.59579998254776,accuracy,1024
cifar10,,lmu,1.0,0.6492999792098999,accuracy,1024
cifar10,,s4,0.1,0.5519000291824341,accuracy,1024
cifar10,,s4,0.25,0.6126000285148621,accuracy,1024
cifar10,,s4,0.5,0.6406000256538391,accuracy,1024
cifar10,,s4,1.0,0.7421000003814697,accuracy,1024
cifar10,,mamba,0.1,0.4846000075340271,accuracy,1024
cifar10,,mamba,0.25,0.5821999907493591,accuracy,1024
cifar10,,mamba,0.5,0.6394000053405762,accuracy,1024
cifar10,,mamba,1.0,0.6829000115394592,accuracy,1024
ppg,,lmu,0.1,6.752946853637695,mae,800
ppg,,lmu,0.25,6.391145706176758,mae,800
ppg,,lmu,0.5,6.530625820159912,mae,800
ppg,,lmu,1.0,6.769993782043457,mae,800
ppg,,s4,0.1,10.14918041229248,mae,800
ppg,,s4,0.25,11.611741065979004,mae,800
ppg,,s4,0.5,6.9746198654174805,mae,800
ppg,,s4,1.0,4.814316272735596,mae,800
ppg,,mamba,0.1,10.23939037322998,mae,800
ppg,,mamba,0.25,11.092452049255371,mae,800
ppg,,mamba,0.5,11.003999710083008,mae,800
ppg,,mamba,1.0,8.975374221801758,mae,800
qqp,,lmu,0.1,0.6033831747470171,f1_score,129
qqp,,lmu,0.25,0.6336134453781512,f1_score,129
qqp,,lmu,0.5,0.6598122485471614,f1_score,129
qqp,,lmu,1.0,0.6903107334461528,f1_score,129
qqp,,s4,0.1,0.5853715260281406,f1_score,129
qqp,,s4,0.25,0.6629857422421023,f1_score,129
qqp,,s4,0.5,0.7061596589136538,f1_score,129
qqp,,s4,1.0,0.7104247104247104,f1_score,129
qqp,,mamba,0.1,0.0014594666312856574,f1_score,129
qqp,,mamba,0.25,0.6012044033600552,f1_score,129
qqp,,mamba,0.5,0.6442460831882663,f1_score,129
qqp,,mamba,1.0,0.679679716615623,f1_score,129
